Fecha,Unidad de negocio,No. Empleado,No. usuario,Proceso,Tipo de almacén,Area,Ubic.procedencia,Renglones,Piezas,Volumen m3,Volumen cm3,Peso,Codigos,Cajas,Tarimas,Folios,Tiempo,ID,Renglones por hora,Piezas por hora,Volumen m3 por hora,Codigos por hora,Cajas por hora,Tarimas por hora,Folios por hora,Peso por hora,Renglones Obtenido,Pieza Obtenido,Volumen m3 Obtenido,Codigos Obtenido,Cajas Obtenido,Tarimas Otenido,Folios Obtenido,RPV,Ponderacion
01/08/2023,RRRP,100323,AL100323,Salida de almacén,NC00,NCFB,NC,24,677,0.486302104,486302.104,168.337,,,,,0.45,RRRPSalida de almacénNC00NCNCFB,53.33333333,1504.444444,1.080671342,0,0,0,0,374.0822222,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,100760,AL100760,Salida de almacén,NC00,NCFA,NC,11,2641,2.029366914,2029366.914,751.773,,,,,1.558611111,RRRPSalida de almacénNC00NCNCFA,7.057565496,1694.457316,1.302035447,0,0,0,0,482.3351987,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,100628,AL100628,Salida de almacén,NC00,NCFA,NC,5,510,0.90212488,902124.88,268.5,,,,,0.484444444,RRRPSalida de almacénNC00NCNCFA,10.32110092,1052.752294,1.862184385,0,0,0,0,554.2431193,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,100323,AL100323,Salida de almacén,NC00,NCFA,NC,11,3222,2.678039,2678039,677.366,,,,,0.999444444,RRRPSalida de almacénNC00NCNCFA,11.00611451,3223.790995,2.679527626,0,0,0,0,677.7425236,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,913543,AL913543,Salida de almacén,NC00,NCFA,NC,2,906,0.9859248,985924.8,393.355,,,,,0.169722222,RRRPSalida de almacénNC00NCNCFA,11.78396072,5338.134206,5.809049558,0,0,0,0,2317.639935,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,910094,AL910094,Salida de almacén,NC00,NCFA,NC,9,1440,0.511956376,511956.376,211.731,,,,,1.140277778,RRRPSalida de almacénNC00NCNCFA,7.892813642,1262.850183,0.448975141,0,0,0,0,185.6837028,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,JTREJO1,JTREJO1,Salida de almacén,NC00,NCFB,NC,1,80,10.6496,10649600,7.56,,,,,0.040555556,RRRPSalida de almacénNC00NCNCFB,24.65753425,1972.60274,262.5928767,0,0,0,0,186.4109589,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,910094,AL910094,Salida de almacén,NC00,NCFB,NC,15,2046,1.027997988,1027997.988,378.422,,,,,0.518055556,RRRPSalida de almacénNC00NCNCFB,28.95442359,3949.383378,1.98433928,0,0,0,0,730.466059,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,100680,AL100680,Salida de almacén,NC00,NCFA,NC,8,2011,2.10117048,2101170.48,829.383,,,,,0.992777778,RRRPSalida de almacénNC00NCNCFA,8.058198097,2025.629547,2.116455996,0,0,0,0,835.4165641,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,100223,AL100223,Salida de almacén,NC00,NCFB,NC,16,1252,0.650312826,650312.826,165.162,,,,,0.783333333,RRRPSalida de almacénNC00NCNCFB,20.42553191,1598.297872,0.830186586,0,0,0,0,210.8451064,0,0,0,0,0,0,0,0,0
01/08/2023,RRRP,100732,AL100732,Salida de almacén,NC00,NCFB,NC,12,1790,0.82651008,826510.08,323.577,,,,,0.724722222,RRRPSalida de almacénNC00NCNCFB,16.55806823,2469.911844,1.140450858,0,0,0,0,446.4841702,0,0,0,0,0,0,0,0,0
