Fecha,Unidad de negocio,No. Empleado,No. usuario,Proceso,Tipo de almacén,Area,Ubic.procedencia,Renglones,Piezas,Volumen m3,Volumen cm3,Peso,Codigos,Cajas,Tarimas,Folios,Tiempo,ID
01/08/2023,RRRP,100680,AL100680,Salida de almacén,NC00,NCFB,NC,1,90,0.06788985,67889.85,8.85,,,,,0.102222222,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100634,AL100634,Salida de almacén,NC00,NCFB,NC,14,1570,0.66093997,660939.97,237.742,,,,,0.949722222,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100740,AL100740,Salida de almacén,NC00,NCFA,NC,3,1362,0.85318344,853183.44,231.981,,,,,0.408888889,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,788760,AL788760,Salida de almacén,NC00,NCFA,NC,3,1212,1.071874188,1071874.188,414.213,,,,,0.456944444,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100729,AL100729,Salida de almacén,NC00,NCFA,NC,10,3622,2.121597476,2121597.476,811.143,,,,,1.270277778,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,917356,AL917356,Salida de almacén,NC00,NCFA,NC,4,2388,2.08799864,2087998.64,747,,,,,0.468333333,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100323,AL100323,Salida de almacén,NC00,NCFB,NC,24,677,0.486302104,486302.104,168.337,,,,,0.45,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100028,AL100028,Salida de almacén,NC00,NCFA,NC,3,480,1.06497392,1064973.92,2078.144,,,,,0.349722222,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100267,AL100267,Salida de almacén,NC00,NCFA,NC,5,2120,0.74330445,743304.45,273.604,,,,,0.792222222,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100743,AL100743,Salida de almacén,NC00,NCFA,NC,1,156,0.24213735,242137.35,134.095,,,,,0.094722222,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100596,AL100596,Salida de almacén,NC00,NCFA,NC,12,2388,4.7833208,4783320.8,930.184,,,,,1.406944444,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,917356,AL917356,Salida de almacén,NC00,NCFB,NC,16,1824,0.924632477,924632.477,127.461,,,,,0.425277778,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100733,AL100733,Salida de almacén,NC00,NCFB,NC,11,556,0.410017677,410017.677,91.363,,,,,0.674722222,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,JCONTRERAS3,JCONTRERAS3,Salida de almacén,NC00,NCFA,NC,9,2184,0.840807914,840807.914,274.178,,,,,0.017777778,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100733,AL100733,Salida de almacén,NC00,NCFA,NC,9,1356,1.663535176,1663535.176,362.94,,,,,0.6025,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100519,AL100519,Salida de almacén,NC00,NCFA,NC,7,1062,1.029109812,1029109.812,374.56,,,,,0.586666667,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100480,AL100480,Salida de almacén,NC00,NCFA,NC,9,2736,1.77876014,1778760.14,759.566,,,,,0.8825,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100632,AL100632,Salida de almacén,NC00,NCFA,NC,14,2400,2.749424042,2749424.042,1046.946,,,,,1.341944444,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100546,AL100546,Salida de almacén,NC00,NCFA,NC,4,660,1.366582,1366582,141.6,,,,,0.426666667,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100673,AL100673,Salida de almacén,NC00,NCFA,NC,3,1092,0.68413022,684130.22,333.09,,,,,0.303333333,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100705,AL100705,Salida de almacén,NC00,NCFA,NC,1,120,1.02131,1021310,8.16,,,,,0.084166667,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100150,AL100150,Salida de almacén,NC00,NCFB,NC,13,226,0.140199075,140199.075,44.591,,,,,0.638055556,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100708,AL100708,Salida de almacén,NC00,NCFB,NC,14,469,0.389440233,389440.233,61.14,,,,,0.475833333,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100588,AL100588,Salida de almacén,NC00,NCFA,NC,14,4380,1.892109878,1892109.878,778.31,,,,,1.6375,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100713,AL100713,Salida de almacén,NC00,NCFA,NC,7,1512,1.84698016,1846980.16,427.183,,,,,0.945277778,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,917970,AL917970,Salida de almacén,NC00,NCFA,NC,2,1740,1.785020972,1785020.972,241.536,,,,,0.439166667,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100130,AL100130,Salida de almacén,NC00,NCFA,NC,3,564,0.8600472,860047.2,241.968,,,,,0.045277778,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100706,AL100706,Salida de almacén,NC00,NCFA,NC,5,810,2.51790498,2517904.98,499.104,,,,,0.498055556,RRRPSalida de almacénNC00NCNCFA
01/08/2023,RRRP,100713,AL100713,Salida de almacén,NC00,NCFB,NC,2,492,0.4116,411600,225.312,,,,,0.184444444,RRRPSalida de almacénNC00NCNCFB
01/08/2023,RRRP,100519,AL100519,Salida de almacén,NC00,NCFB,NC,15,2000,1.054463876,1054463.876,429.39,,,,,0.701388889,RRRPSalida de almacénNC00NCNCFB
