Fecha,Unidad de negocio,No. Empleado,No. usuario,Proceso,Tipo de almacén,Area,Ubic.procedencia,Renglones,Piezas,Volumen m3,Volumen cm3,Peso,Codigos,Cajas,Tarimas,Folios,Tiempo,ID,Renglones por hora,Piezas por hora,Volumen m3 por hora,Codigos por hora,Cajas por hora,Tarimas por hora,Folios por hora,Peso por hora,Renglones Obtenido,Pieza Obtenido,Volumen m3 Obtenido,Codigos Obtenido,Cajas Obtenido,Tarimas Otenido,Folios Obtenido,RPV,Ponderacion,Ponderacion Valor,Evaluacion de desempeño
01/08/2023,RRRP,100075,AL100075,Salida de almacén,NCL0,NCL0,BR,2,730,2.001056,2001056,156.7,,,,,0.477222222,RRRPSalida de almacénNCL0BRNCL0,4.190919674,1529.685681,4.19313248,0,0,0,0,328.3585565,89.76611282,132.1329371,86.65650852,0,0,0,0,308.5555585,36.60142577,100,Productivo
01/08/2023,RRRP,100075,AL100075,Salida de almacén,NPN1,NPNF,BR,9,360,0.257188668,257188.668,28.757,,,,,0.688055556,RRRPSalida de almacénNPN1BRNPNF,13.08033912,523.2135648,0.373790555,0,0,0,0,41.79459023,3.81509891,5.4501413,14.30175065,0,0,0,0,23.56699086,4.030617715,100,Improductivo
01/08/2023,RRRP,100075,AL100075,Salida de almacén,NPN1,NPNF,FC,1,8,0.000584,584,0.205,,,,,0.0525,RRRPSalida de almacénNPN1FCNPNF,19.04761905,152.3809524,0.01112381,0,0,0,0,3.904761905,0,0,0,0,0,0,0,0,0,#N/D,Improductivo
01/08/2023,RRRP,100075,AL100075,Salida de almacén,NPN1,NPNF,FA,41,2416,0.360276582,360276.582,98.117,,,,,0.980555556,RRRPSalida de almacénNPN1FANPNF,41.81303116,2463.909348,0.367420877,0,0,0,0,100.0626629,154.6694995,180.8593895,174.8450359,0,0,0,0,360,87.74425188,100,Productivo
02/08/2023,RRRP,100075,AL100075,Salida de almacén,NC00,NCFB,NC,92,8064,4.932857435,4932857.435,1294.745,,,,,2.795,RRRPSalida de almacénNC00NCNCFB,32.91592129,2885.152057,1.764886381,0,0,0,0,463.236136,154.0771541,161.5757365,168.6453607,0,0,0,0,360,191.9109934,100,Productivo
02/08/2023,RRRP,100075,AL100075,Salida de almacén,NC00,NCFA,NC,15,2044,2.055718956,2055718.956,587.72,,,,,1.268888889,RRRPSalida de almacénNC00NCNCFA,11.82136602,1610.858144,1.620093748,0,0,0,0,463.1768827,106.2515637,74.79850706,112.1954319,0,0,0,0,293.2455026,70.96929569,100,Productivo
02/08/2023,RRRP,100075,AL100075,Salida de almacén,NC01,NCNB,FC,9,2221,97.96910498,97969104.98,84.284,,,,,0.353055556,RRRPSalida de almacénNC01FCNCNB,25.49173879,6290.79465,277.4892037,0,0,0,0,238.7273013,123.9181747,218.1718723,45012.58359,0,0,0,0,360,24.2415894,100,Productivo
02/08/2023,RRRP,100075,AL100075,Salida de almacén,NCL0,NCL0,BR,2,166,1.455855324,1455855.324,130.984,,,,,0.826111111,RRRPSalida de almacénNCL0BRNCL0,2.420981843,200.9414929,1.762299652,0,0,0,0,158.5549428,51.85547472,17.35715381,36.4202027,0,0,0,0,105.6328312,16.64381669,100,Improductivo
03/08/2023,RRRP,100075,AL100075,Salida de almacén,NC00,NCFA,NC,11,1538,1.561226769,1561226.769,654.371,,,,,0.612777778,RRRPSalida de almacénNC00NCNCFA,17.95104261,2509.88214,2.547786205,0,0,0,0,1067.876519,161.3456806,116.5437426,176.4403906,0,0,0,0,360,56.5077558,100,Productivo
03/08/2023,RRRP,100075,AL100075,Salida de almacén,NC01,NCNA,FC,9,7102,1.72338738,1723387.38,331.884,,,,,0.755555556,RRRPSalida de almacénNC01FCNCNA,11.91176471,9399.705882,2.280953885,0,0,0,0,439.2582353,104.0243213,216.1087007,159.0023089,0,0,0,0,360,69.67411413,100,Productivo
